# -------------------------------------------------------
# Free IP2Location Firewall List by Country
# Source: https://www.ip2location.com/free/visitor-blocker
# Last Generated: 10 Jan 2024 23:55:20 GMT
# [Important] Please update this list every month
#sudo wget https://raw.githubusercontent.com/arkh91/public_script_files/main/firewall/Thailand-firewall-range.txt
# -------------------------------------------------------
#Begin IP Address	End IP Address	Total Count
103.239.72.0	103.239.73.255	512
103.240.60.0	103.240.63.255	1,024
103.241.28.0	103.241.35.255	2,048
103.241.54.0	103.241.55.255	512
103.242.144.0	103.242.147.255	1,024
103.244.220.0	103.244.220.255	256
103.245.112.0	103.245.115.255	1,024
103.245.165.0	103.245.166.255	512
103.245.232.0	103.245.233.255	512
103.245.235.0	103.245.235.255	256
103.246.16.0	103.246.19.255	1,024
103.246.188.0	103.246.191.255	1,024
103.246.24.0	103.246.27.255	1,024
103.246.50.0	103.246.50.255	256
103.247.60.0	103.247.63.255	1,024
103.247.68.0	103.247.69.255	512
103.247.71.0	103.247.71.255	256
103.25.96.0	103.25.99.255	1,024
103.253.117.0	103.253.117.255	256
103.253.132.0	103.253.135.255	1,024
103.253.228.0	103.253.228.255	256
103.253.72.0	103.253.75.255	1,024
103.254.215.0	103.254.215.255	256
103.255.13.0	103.255.13.255	256
103.255.198.0	103.255.198.255	256
103.26.180.0	103.26.183.255	1,024
103.26.20.0	103.26.23.255	1,024
103.27.100.0	103.27.103.255	1,024
103.27.200.0	103.27.203.255	1,024
103.28.100.0	103.28.103.255	1,024
103.28.124.0	103.28.127.255	1,024
103.28.240.0	103.28.241.255	512
103.29.188.0	103.29.191.255	1,024
103.3.176.0	103.3.179.255	1,024
103.3.64.0	103.3.67.255	1,024
103.30.124.0	103.30.127.255	1,024
103.30.55.0	103.30.55.255	256
103.35.96.0	103.35.99.255	1,024
103.38.250.0	103.38.251.255	512
103.4.156.0	103.4.159.255	1,024
103.4.216.0	103.4.219.255	1,024
103.4.228.0	103.4.231.255	1,024
103.40.116.0	103.40.119.255	1,024
103.40.132.0	103.40.151.255	5,120
103.40.180.0	103.40.191.255	3,072
103.41.58.0	103.41.59.255	512
103.41.84.0	103.41.87.255	1,024
103.42.204.0	103.42.204.255	256
103.43.136.0	103.43.136.255	256
103.43.229.0	103.43.229.255	256
103.44.216.0	103.44.219.255	1,024
103.44.44.0	103.44.44.255	256
103.47.84.0	103.47.87.255	1,024
103.48.12.0	103.48.12.255	256
103.48.204.0	103.48.207.255	1,024
103.49.148.0	103.49.149.255	512
103.49.64.0	103.49.67.255	1,024
103.5.116.0	103.5.119.255	1,024
103.5.122.0	103.5.123.255	512
103.5.24.0	103.5.27.255	1,024
103.51.10.0	103.51.11.255	512
103.51.224.0	103.51.227.255	1,024
103.51.64.0	103.51.67.255	1,024
103.52.108.0	103.52.109.255	512
103.53.156.0	103.53.157.255	512
103.55.1.0	103.55.2.255	512
103.55.140.0	103.55.143.255	1,024
103.55.54.0	103.55.55.255	512
103.55.59.0	103.55.59.255	256
103.58.148.0	103.58.151.255	1,024
103.6.162.0	103.6.162.255	256
103.6.20.0	103.6.23.255	1,024
103.60.185.0	103.60.185.255	256
103.63.216.0	103.63.219.255	1,024
103.66.128.0	103.66.131.255	1,024
103.7.16.0	103.7.19.255	1,024
103.7.56.0	103.7.59.255	1,024
103.70.244.0	103.70.247.255	1,024
103.70.4.0	103.70.7.255	1,024
103.71.6.0	103.71.7.255	512
103.74.252.0	103.74.255.255	1,024
103.76.180.0	103.76.183.255	1,024
103.76.196.0	103.76.199.255	1,024
103.77.82.0	103.77.83.255	512
103.78.102.0	103.78.103.255	512
103.8.128.0	103.8.131.255	1,024
103.8.208.0	103.8.211.255	1,024
103.80.100.0	103.80.101.255	512
103.80.129.0	103.80.129.255	256
103.80.216.0	103.80.219.255	1,024
103.80.48.0	103.80.51.255	1,024
103.81.180.0	103.81.180.255	256
103.82.165.0	103.82.165.255	256
103.83.200.0	103.83.203.255	1,024
103.84.109.0	103.84.109.255	256
103.86.48.0	103.86.51.255	1,024
103.87.217.0	103.87.217.255	256
103.90.40.0	103.90.43.255	1,024
103.91.188.0	103.91.191.255	1,024
103.91.195.0	103.91.195.255	256
103.91.204.0	103.91.207.255	1,024
103.92.105.0	103.92.105.255	256
103.93.166.0	103.93.166.255	256
103.95.228.0	103.95.231.255	1,024
103.99.11.0	103.99.11.255	256
104.132.135.0	104.132.135.255	256
104.65.96.0	104.65.127.255	8,192
104.76.193.0	104.76.193.255	256
104.76.195.0	104.76.196.255	512
104.90.196.0	104.90.199.255	1,024
106.0.128.0	106.0.255.255	32,768
107.154.90.0	107.154.90.255	256
107.155.27.0	107.155.27.255	256
107.155.38.0	107.155.39.255	512
107.186.85.0	107.186.85.255	256
108.165.137.0	108.165.137.255	256
108.165.80.0	108.165.80.255	256
108.165.98.0	108.165.98.255	256
110.164.0.0	110.164.255.255	65,536
110.168.0.0	110.171.255.255	262,144
110.238.112.0	110.238.119.255	2,048
110.238.124.0	110.238.127.255	1,024
110.238.96.0	110.238.96.255	256
110.34.139.0	110.34.139.255	256
110.49.0.0	110.49.255.255	65,536
110.76.152.0	110.76.155.255	1,024
110.77.128.0	110.78.93.255	56,832
110.78.96.0	110.78.255.255	40,960
111.223.32.0	111.223.63.255	8,192
111.84.0.0	111.84.255.255	65,536
111.92.180.0	111.92.183.255	1,024
112.121.128.0	112.121.132.255	1,280
112.121.134.0	112.121.159.255	6,656
112.142.0.0	112.143.255.255	131,072
113.21.240.0	113.21.247.255	2,048
113.53.0.0	113.53.255.255	65,536
114.109.0.0	114.109.255.255	65,536
114.128.0.0	114.128.255.255	65,536
114.131.0.0	114.131.255.255	65,536
115.178.56.0	115.178.63.255	2,048
115.31.128.0	115.31.191.255	16,384
115.67.0.0	115.67.255.255	65,536
115.87.0.0	115.87.255.255	65,536
116.193.144.0	116.193.151.255	2,048
116.204.180.0	116.204.183.255	1,024
116.206.112.0	116.206.115.255	1,024
116.206.124.0	116.206.127.255	1,024
116.206.81.0	116.206.81.255	256
116.214.112.0	116.214.113.255	512
116.58.224.0	116.58.255.255	8,192
116.68.144.0	116.68.159.255	4,096
116.89.252.0	116.89.255.255	1,024
117.121.208.0	117.121.223.255	4,096
117.47.0.0	117.47.255.255	65,536
117.55.205.0	117.55.205.255	256
118.172.0.0	118.175.255.255	262,144
118.193.56.0	118.193.57.255	512
118.193.71.0	118.193.71.255	256
118.194.250.0	118.194.251.255	512
118.214.2.0	118.214.2.255	256
118.214.4.0	118.214.5.255	512
118.215.120.0	118.215.127.255	2,048
118.27.128.0	118.27.132.255	1,280
118.27.134.0	118.27.141.255	2,048
119.110.192.0	119.110.255.255	16,384
119.13.24.0	119.13.31.255	2,048
119.160.213.0	119.160.213.255	256
119.160.216.0	119.160.219.255	1,024
119.160.222.0	119.160.222.255	256
119.31.0.0	119.31.127.255	32,768
119.31.163.0	119.31.163.255	256
119.42.64.0	119.42.127.255	16,384
119.46.0.0	119.46.255.255	65,536
119.59.96.0	119.59.127.255	8,192
119.63.64.0	119.63.95.255	8,192
119.76.0.0	119.76.255.255	65,536
119.8.248.0	119.8.248.255	256
119.8.251.0	119.8.251.255	256
120.29.222.0	120.29.222.255	256
121.91.200.0	121.91.207.255	2,048
122.0.0.0	122.0.7.255	2,048
122.10.144.0	122.10.145.255	512
122.10.244.0	122.10.244.255	256
122.144.24.0	122.144.31.255	2,048
122.154.0.0	122.155.255.255	131,072
122.8.144.0	122.8.159.255	4,096
123.242.128.0	123.242.191.255	16,384
123.242.200.0	123.242.207.255	2,048
123.253.60.0	123.253.63.255	1,024
124.109.0.0	124.109.3.255	1,024
124.109.24.0	124.109.31.255	2,048
124.120.0.0	124.122.255.255	196,608
124.156.240.0	124.156.255.255	4,096
124.157.128.0	124.157.255.255	32,768
124.40.224.0	124.40.239.255	4,096
125.213.224.0	125.213.255.255	8,192
125.24.0.0	125.27.255.255	262,144
125.252.240.0	125.252.247.255	2,048
125.254.52.0	125.254.55.255	1,024
125.56.198.0	125.56.198.255	256
128.1.108.0	128.1.108.255	256
128.1.35.0	128.1.35.255	256
128.1.39.0	128.1.39.255	256
128.1.44.0	128.1.44.255	256
128.1.79.0	128.1.79.255	256
128.1.8.0	128.1.9.255	512
128.77.28.0	128.77.28.255	256
129.227.230.0	129.227.231.255	512
129.227.244.0	129.227.245.255	512
130.176.144.0	130.176.144.255	256
130.176.148.0	130.176.148.255	256
130.41.154.0	130.41.154.255	256
134.196.0.0	134.196.255.255	65,536
134.204.208.0	134.204.209.255	512
134.236.0.0	134.236.255.255	65,536
134.238.20.0	134.238.21.255	512
137.59.112.0	137.59.115.255	1,024
139.5.144.0	139.5.147.255	1,024
14.128.9.0	14.128.11.255	768
14.207.0.0	14.207.255.255	65,536
140.149.0.0	140.149.255.255	65,536
140.82.194.0	140.82.194.255	256
140.99.96.0	140.99.99.255	1,024
141.11.156.0	141.11.159.255	1,024
141.11.33.0	141.11.33.255	256
141.226.130.0	141.226.130.255	256
141.98.16.0	141.98.19.255	1,024
143.92.110.0	143.92.111.255	512
144.208.207.0	144.208.207.255	256
144.5.59.0	144.5.59.255	256
146.19.69.0	146.19.69.255	256
146.23.248.0	146.23.251.255	1,024
146.88.32.0	146.88.40.255	2,304
146.88.42.0	146.88.59.255	4,608
146.88.62.0	146.88.63.255	512
147.50.0.0	147.50.255.255	65,536
147.75.154.0	147.75.154.255	256
147.78.152.0	147.78.155.255	1,024
148.253.226.0	148.253.226.255	256
148.253.251.0	148.253.253.255	768
148.253.34.0	148.253.34.255	256
148.253.53.0	148.253.54.255	512
148.253.59.0	148.253.59.255	256
149.104.112.0	149.104.113.255	512
149.104.116.0	149.104.117.255	512
149.104.67.0	149.104.67.255	256
149.18.42.0	149.18.42.255	256
149.57.7.0	149.57.7.255	256
15.220.192.0	15.220.195.255	1,024
15.220.240.0	15.220.247.255	2,048
150.107.12.0	150.107.15.255	1,024
150.107.220.0	150.107.223.255	1,024
150.107.28.0	150.107.31.255	1,024
150.109.138.0	150.109.139.255	512
150.109.160.0	150.109.191.255	8,192
150.95.20.0	150.95.31.255	3,072
150.95.64.0	150.95.94.255	7,936
150.95.96.0	150.95.103.255	2,048
152.32.245.0	152.32.248.255	1,024
153.254.88.0	153.254.88.255	256
154.197.102.0	154.197.102.255	256
154.197.105.0	154.197.105.255	256
154.197.112.0	154.197.113.255	512
154.197.116.0	154.197.116.255	256
154.197.124.0	154.197.124.255	256
154.197.93.0	154.197.93.255	256
154.201.46.0	154.201.46.255	256
154.201.56.0	154.201.60.255	1,280
154.202.3.0	154.202.3.255	256
154.208.140.0	154.208.140.255	256
154.212.139.0	154.212.139.255	256
